TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,3,4,2,4,spherical,0.5687654320987653,0.0472455764084763,0.7037037037037037,0.4814814814814814,19.0,14.0,38.0,10.0,0.5757575757575758,0.6551724137931034,0.6129032258064515
3,True,1s,3,4,3,1,full,,,,,,,,,,,
3,True,1s,3,4,3,1,diag,0.5775308641975309,0.0217774418383428,0.6296296296296297,0.5308641975308642,4.0,29.0,47.0,1.0,0.1212121212121212,0.8,0.2105263157894737
3,True,1s,3,4,3,1,spherical,0.5870370370370369,0.0251424837708843,0.6419753086419753,0.5185185185185185,5.0,28.0,47.0,1.0,0.1515151515151515,0.8333333333333334,0.2564102564102564
3,True,1s,3,4,3,2,full,,,,,,,,,,,
3,True,1s,3,4,3,2,diag,0.5717283950617285,0.0421092633810005,0.6790123456790124,0.4814814814814814,10.0,23.0,45.0,3.0,0.303030303030303,0.7692307692307693,0.4347826086956521
3,True,1s,3,4,3,2,spherical,0.58679012345679,0.0451404690026274,0.7037037037037037,0.4567901234567901,12.0,21.0,45.0,3.0,0.3636363636363636,0.8,0.5000000000000001
3,True,1s,3,4,3,3,full,,,,,,,,,,,
3,True,1s,3,4,3,3,diag,0.5493827160493825,0.0480847952941986,0.6666666666666666,0.4444444444444444,16.0,17.0,38.0,10.0,0.4848484848484848,0.6153846153846154,0.5423728813559322
3,True,1s,3,4,3,3,spherical,0.5650617283950617,0.0469738079934215,0.7037037037037037,0.4567901234567901,16.0,17.0,41.0,7.0,0.4848484848484848,0.6956521739130435,0.5714285714285715
3,True,1s,3,4,3,4,full,,,,,,,,,,,
3,True,1s,3,4,3,4,diag,0.5345679012345679,0.0588592466225196,0.6790123456790124,0.345679012345679,20.0,13.0,35.0,13.0,0.6060606060606061,0.6060606060606061,0.6060606060606061
3,True,1s,3,4,3,4,spherical,0.5558024691358024,0.0456616583651735,0.6666666666666666,0.4320987654320987,21.0,12.0,33.0,15.0,0.6363636363636364,0.5833333333333334,0.6086956521739131
3,True,1s,3,4,4,1,full,,,,,,,,,,,
3,True,1s,3,4,4,1,diag,0.5753086419753086,0.0274396429270282,0.654320987654321,0.5061728395061729,5.0,28.0,48.0,0.0,0.1515151515151515,1.0,0.2631578947368421
3,True,1s,3,4,4,1,spherical,0.5783950617283949,0.024776089185666,0.6419753086419753,0.5185185185185185,5.0,28.0,47.0,1.0,0.1515151515151515,0.8333333333333334,0.2564102564102564
3,True,1s,3,4,4,2,full,,,,,,,,,,,
3,True,1s,3,4,4,2,diag,0.5460493827160493,0.0462544666997842,0.6666666666666666,0.4444444444444444,12.0,21.0,42.0,6.0,0.3636363636363636,0.6666666666666666,0.4705882352941177
3,True,1s,3,4,4,2,spherical,0.5820987654320988,0.0531688994633305,0.691358024691358,0.4444444444444444,22.0,11.0,34.0,14.0,0.6666666666666666,0.6111111111111112,0.6376811594202899
3,True,1s,3,4,4,3,full,,,,,,,,,,,
3,True,1s,3,4,4,3,diag,0.5197530864197532,0.054893170556582,0.654320987654321,0.3086419753086419,24.0,9.0,29.0,19.0,0.7272727272727273,0.5581395348837209,0.6315789473684211
3,True,1s,3,4,4,3,spherical,0.5506172839506172,0.0490731034922266,0.7160493827160493,0.4320987654320987,22.0,11.0,36.0,12.0,0.6666666666666666,0.6470588235294118,0.6567164179104478
3,True,1s,3,4,4,4,full,,,,,,,,,,,
3,True,1s,3,4,4,4,diag,0.4971604938271604,0.0531253087531485,0.6296296296296297,0.3703703703703703,20.0,13.0,31.0,17.0,0.6060606060606061,0.5405405405405406,0.5714285714285714
3,True,1s,3,4,4,4,spherical,0.5224691358024691,0.0457583561821644,0.654320987654321,0.4074074074074074,19.0,14.0,34.0,14.0,0.5757575757575758,0.5757575757575758,0.5757575757575758
3,True,1s,4,1,1,1,full,0.5775308641975309,0.0193303531121479,0.6172839506172839,0.5185185185185185,2.0,31.0,48.0,0.0,0.0606060606060606,1.0,0.1142857142857143
3,True,1s,4,1,1,1,diag,0.5619753086419752,0.0286078979910325,0.6172839506172839,0.4691358024691358,2.0,31.0,48.0,0.0,0.0606060606060606,1.0,0.1142857142857143
3,True,1s,4,1,1,1,spherical,0.5343209876543209,0.0404621978249737,0.6296296296296297,0.4320987654320987,7.0,26.0,44.0,4.0,0.2121212121212121,0.6363636363636364,0.3181818181818182
3,True,1s,4,1,1,2,full,0.5428395061728394,0.0406266640825511,0.6172839506172839,0.3950617283950617,8.0,25.0,42.0,6.0,0.2424242424242424,0.5714285714285714,0.3404255319148936
3,True,1s,4,1,1,2,diag,0.5482716049382715,0.0393552286132908,0.6419753086419753,0.4444444444444444,5.0,28.0,47.0,1.0,0.1515151515151515,0.8333333333333334,0.2564102564102564
3,True,1s,4,1,1,2,spherical,0.5607407407407407,0.0419818440809128,0.6666666666666666,0.4567901234567901,10.0,23.0,44.0,4.0,0.303030303030303,0.7142857142857143,0.4255319148936169
3,True,1s,4,1,1,3,full,0.5055555555555555,0.0505833972688293,0.6296296296296297,0.3950617283950617,19.0,14.0,32.0,16.0,0.5757575757575758,0.5428571428571428,0.5588235294117646
3,True,1s,4,1,1,3,diag,0.522469135802469,0.0502358406824429,0.6296296296296297,0.382716049382716,22.0,11.0,29.0,19.0,0.6666666666666666,0.5365853658536586,0.5945945945945946
3,True,1s,4,1,1,3,spherical,0.5318518518518518,0.047097754143472,0.6419753086419753,0.3950617283950617,9.0,24.0,43.0,5.0,0.2727272727272727,0.6428571428571429,0.3829787234042553
3,True,1s,4,1,1,4,full,0.48679012345679,0.0524729119919284,0.6049382716049383,0.3580246913580246,23.0,10.0,26.0,22.0,0.696969696969697,0.5111111111111111,0.5897435897435898
3,True,1s,4,1,1,4,diag,0.5018518518518518,0.0478902558374477,0.6419753086419753,0.3703703703703703,16.0,17.0,36.0,12.0,0.4848484848484848,0.5714285714285714,0.5245901639344263
3,True,1s,4,1,1,4,spherical,0.5222222222222221,0.0506172839506172,0.654320987654321,0.3950617283950617,18.0,15.0,35.0,13.0,0.5454545454545454,0.5806451612903226,0.5625
