Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
Relevant Features,3s,3s,1,2,4,1,spherical,0.5015104166666667,0.0239276864675108,0.5677083333333334,0.4375,77.0,19.0,32.0,64.0,0.8020833333333334,0.5460992907801419,0.649789029535865
Relevant Features,3s,3s,1,2,4,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,2,4,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,1,spherical,0.5067708333333334,0.0206042087967213,0.5572916666666666,0.4635416666666667,20.0,76.0,87.0,9.0,0.2083333333333333,0.6896551724137931,0.32
Relevant Features,3s,3s,1,3,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,2,spherical,0.5218750000000001,0.0312326340636769,0.6041666666666666,0.453125,49.0,47.0,67.0,29.0,0.5104166666666666,0.6282051282051282,0.5632183908045977
Relevant Features,3s,3s,1,3,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,3,spherical,0.5119270833333334,0.0384803495915447,0.59375,0.3958333333333333,58.0,38.0,56.0,40.0,0.6041666666666666,0.5918367346938775,0.5979381443298969
Relevant Features,3s,3s,1,3,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,1,4,spherical,0.5167708333333333,0.0300424684936914,0.5833333333333334,0.453125,69.0,27.0,43.0,53.0,0.71875,0.5655737704918032,0.6330275229357797
Relevant Features,3s,3s,1,3,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,1,spherical,0.5309375,0.0314560912556428,0.6302083333333334,0.46875,58.0,38.0,63.0,33.0,0.6041666666666666,0.6373626373626373,0.6203208556149733
Relevant Features,3s,3s,1,3,2,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,3,spherical,0.5083333333333333,0.0257061722484438,0.578125,0.4479166666666667,73.0,23.0,38.0,58.0,0.7604166666666666,0.5572519083969466,0.6431718061674009
Relevant Features,3s,3s,1,3,2,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,2,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,1,spherical,0.50640625,0.0391551332198637,0.5833333333333334,0.3802083333333333,73.0,23.0,39.0,57.0,0.7604166666666666,0.5615384615384615,0.6460176991150441
Relevant Features,3s,3s,1,3,3,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,3,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,1,spherical,0.5152604166666667,0.0308591442501921,0.5989583333333334,0.4322916666666667,81.0,15.0,34.0,62.0,0.84375,0.5664335664335665,0.6778242677824269
Relevant Features,3s,3s,1,3,4,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,3,4,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,1,spherical,0.5009375,0.0195764061329788,0.5572916666666666,0.453125,15.0,81.0,92.0,4.0,0.15625,0.7894736842105263,0.2608695652173913
Relevant Features,3s,3s,1,4,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,2,spherical,0.5097395833333332,0.0278307816788204,0.5989583333333334,0.453125,39.0,57.0,76.0,20.0,0.40625,0.6610169491525424,0.503225806451613
Relevant Features,3s,3s,1,4,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,3,spherical,0.4919791666666667,0.0363347608186706,0.5833333333333334,0.421875,56.0,40.0,56.0,40.0,0.5833333333333334,0.5833333333333334,0.5833333333333334
Relevant Features,3s,3s,1,4,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,1,4,spherical,0.5085416666666667,0.0296328078084259,0.578125,0.4375,68.0,28.0,43.0,53.0,0.7083333333333334,0.5619834710743802,0.6267281105990784
Relevant Features,3s,3s,1,4,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,1,spherical,0.5095312500000001,0.0264351009385616,0.578125,0.453125,30.0,66.0,81.0,15.0,0.3125,0.6666666666666666,0.425531914893617
Relevant Features,3s,3s,1,4,2,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,2,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,1,spherical,0.4938020833333333,0.0328636753704476,0.5729166666666666,0.4114583333333333,59.0,37.0,51.0,45.0,0.6145833333333334,0.5673076923076923,0.5900000000000001
Relevant Features,3s,3s,1,4,3,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,3,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,1,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,1,spherical,0.50015625,0.0336286962936377,0.5833333333333334,0.421875,69.0,27.0,43.0,53.0,0.71875,0.5655737704918032,0.6330275229357797
Relevant Features,3s,3s,1,4,4,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,2,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,2,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,3,spherical,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,4,4,4,spherical,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,1,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,1,diag,0.5550520833333333,0.0400212549322752,0.6458333333333334,0.484375,37.0,59.0,87.0,9.0,0.3854166666666667,0.8043478260869565,0.5211267605633803
Relevant Features,3s,3s,2,1,1,1,spherical,0.5203125000000002,0.0264704286657772,0.5989583333333334,0.453125,46.0,50.0,69.0,27.0,0.4791666666666667,0.6301369863013698,0.5443786982248521
Relevant Features,3s,3s,2,1,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,2,1,1,2,diag,0.5022916666666667,0.0159568917973812,0.5833333333333334,0.4479166666666667,56.0,40.0,56.0,40.0,0.5833333333333334,0.5833333333333334,0.5833333333333334
