TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,2,4,4,4,diag,0.4760937499999999,0.0232235022054706,0.53125,0.421875,86.0,10.0,16.0,80.0,0.8958333333333334,0.5180722891566265,0.6564885496183206
3,True,1s,2,4,4,4,spherical,0.4814583333333334,0.0250359983878769,0.546875,0.4166666666666667,76.0,20.0,29.0,67.0,0.7916666666666666,0.5314685314685315,0.6359832635983262
3,True,1s,3,1,1,1,full,0.5018229166666667,0.0065208250133067,0.515625,0.484375,4.0,92.0,95.0,1.0,0.0416666666666666,0.8,0.0792079207920792
3,True,1s,3,1,1,1,diag,0.51046875,0.0126401646753843,0.5520833333333334,0.4791666666666667,10.0,86.0,96.0,0.0,0.1041666666666666,1.0,0.1886792452830188
3,True,1s,3,1,1,1,spherical,0.5020833333333333,0.0181471368647753,0.5364583333333334,0.4375,7.0,89.0,96.0,0.0,0.0729166666666666,1.0,0.1359223300970873
3,True,1s,3,1,1,2,full,0.5199479166666666,0.0215760198154429,0.59375,0.4739583333333333,28.0,68.0,86.0,10.0,0.2916666666666667,0.7368421052631579,0.417910447761194
3,True,1s,3,1,1,2,diag,0.5274479166666667,0.0257889298325797,0.5833333333333334,0.4635416666666667,32.0,64.0,80.0,16.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
3,True,1s,3,1,1,2,spherical,0.5219270833333334,0.0236425635588009,0.59375,0.46875,26.0,70.0,88.0,8.0,0.2708333333333333,0.7647058823529411,0.3999999999999999
3,True,1s,3,1,1,3,full,0.4936458333333333,0.0333217753399418,0.59375,0.421875,46.0,50.0,68.0,28.0,0.4791666666666667,0.6216216216216216,0.5411764705882353
3,True,1s,3,1,1,3,diag,0.54984375,0.0339482267041176,0.6302083333333334,0.4583333333333333,52.0,44.0,69.0,27.0,0.5416666666666666,0.6582278481012658,0.5942857142857143
3,True,1s,3,1,1,3,spherical,0.5525,0.0276452131932455,0.6197916666666666,0.4791666666666667,50.0,46.0,69.0,27.0,0.5208333333333334,0.6493506493506493,0.5780346820809248
3,True,1s,3,1,1,4,full,0.4692708333333333,0.0306053295671957,0.546875,0.40625,68.0,28.0,37.0,59.0,0.7083333333333334,0.5354330708661418,0.6098654708520179
3,True,1s,3,1,1,4,diag,0.5319791666666667,0.0320303607600143,0.59375,0.4479166666666667,72.0,24.0,42.0,54.0,0.75,0.5714285714285714,0.6486486486486486
3,True,1s,3,1,1,4,spherical,0.5141145833333334,0.0216292620840058,0.5625,0.453125,71.0,25.0,37.0,59.0,0.7395833333333334,0.5461538461538461,0.6283185840707964
3,True,1s,3,1,2,1,full,0.5185416666666667,0.0212244535985159,0.5885416666666666,0.4791666666666667,29.0,67.0,84.0,12.0,0.3020833333333333,0.7073170731707317,0.4233576642335767
3,True,1s,3,1,2,1,diag,0.5293229166666666,0.02750724928125,0.5885416666666666,0.46875,23.0,73.0,90.0,6.0,0.2395833333333333,0.7931034482758621,0.368
3,True,1s,3,1,2,1,spherical,0.5222395833333333,0.0255670818190707,0.578125,0.4583333333333333,24.0,72.0,87.0,9.0,0.25,0.7272727272727273,0.3720930232558139
3,True,1s,3,1,2,2,full,0.4583854166666666,0.0320851511254514,0.546875,0.3541666666666667,67.0,29.0,38.0,58.0,0.6979166666666666,0.536,0.6063348416289593
3,True,1s,3,1,2,2,diag,0.5198437499999999,0.0337353282795935,0.625,0.4427083333333333,75.0,21.0,45.0,51.0,0.78125,0.5952380952380952,0.6756756756756757
3,True,1s,3,1,2,2,spherical,0.511875,0.0230474487922922,0.5520833333333334,0.4427083333333333,82.0,14.0,24.0,72.0,0.8541666666666666,0.5324675324675324,0.656
3,True,1s,3,1,2,3,full,0.4594270833333332,0.0189127055094584,0.5,0.40625,86.0,10.0,10.0,86.0,0.8958333333333334,0.5,0.6417910447761194
3,True,1s,3,1,2,3,diag,0.5023958333333334,0.0225517826192422,0.5677083333333334,0.4583333333333333,84.0,12.0,25.0,71.0,0.875,0.5419354838709678,0.6693227091633467
3,True,1s,3,1,2,3,spherical,0.5124479166666668,0.0231977903753484,0.5989583333333334,0.4635416666666667,89.0,7.0,26.0,70.0,0.9270833333333334,0.559748427672956,0.6980392156862745
3,True,1s,3,1,2,4,full,0.4700520833333333,0.0147566891317783,0.5052083333333334,0.421875,93.0,3.0,4.0,92.0,0.96875,0.5027027027027027,0.6619217081850534
3,True,1s,3,1,2,4,diag,0.4947916666666666,0.0178304612173163,0.5416666666666666,0.4375,91.0,5.0,13.0,83.0,0.9479166666666666,0.5229885057471264,0.674074074074074
3,True,1s,3,1,2,4,spherical,0.5075520833333333,0.0211867804491057,0.5520833333333334,0.4583333333333333,85.0,11.0,21.0,75.0,0.8854166666666666,0.53125,0.6640625
3,True,1s,3,1,3,1,full,0.4890624999999999,0.0381774741339706,0.5625,0.3958333333333333,59.0,37.0,49.0,47.0,0.6145833333333334,0.5566037735849056,0.5841584158415842
3,True,1s,3,1,3,1,diag,0.5454166666666667,0.0359418777526841,0.6354166666666666,0.4322916666666667,68.0,28.0,54.0,42.0,0.7083333333333334,0.6181818181818182,0.6601941747572815
3,True,1s,3,1,3,1,spherical,0.5444270833333333,0.0344495325193043,0.6197916666666666,0.421875,49.0,47.0,70.0,26.0,0.5104166666666666,0.6533333333333333,0.5730994152046783
3,True,1s,3,1,3,2,full,0.4600520833333333,0.0202530513604672,0.5,0.3802083333333333,70.0,26.0,26.0,70.0,0.7291666666666666,0.5,0.5932203389830509
3,True,1s,3,1,3,2,diag,0.5042708333333333,0.0248299337018625,0.5677083333333334,0.4322916666666667,87.0,9.0,22.0,74.0,0.90625,0.5403726708074534,0.6770428015564203
3,True,1s,3,1,3,2,spherical,0.5181770833333333,0.0249293163089552,0.578125,0.4635416666666667,83.0,13.0,28.0,68.0,0.8645833333333334,0.5496688741721855,0.6720647773279353
3,True,1s,3,1,3,3,full,0.4728125,0.0149067559022001,0.5052083333333334,0.4270833333333333,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,3,1,3,3,diag,0.49265625,0.0159530663360005,0.5364583333333334,0.453125,93.0,3.0,10.0,86.0,0.96875,0.5195530726256983,0.6763636363636364
